Mobile Page,Mobile Name,Price,Company Name,Mobile Image,Mobile Rate
https://jumia.com.eg/apple-iphone-14-plus-5g-single-sim-128gb6gb-ram-starlight-38687630.html,Apple IPhone 14 Plus – 5G Single SIM – 128GB/6GB RAM – Starlight,53750.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/678683/1.jpg?8827,0
https://jumia.com.eg/samsung-galaxy-s23-ultra-256gb-rom-12gb-ram-laveder-67830531.html,"Samsung Galaxy S23 Ultra 256GB ROM, 12GB RAM - Laveder",51699.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/503876/1.jpg?3877,0
https://jumia.com.eg/samsung-galaxy-s24-plus-6.7-inch-256gb12gb-dual-sim-5g-mobile-phone-onyx-black-69503658.html,Samsung Galaxy S24 Plus - 6.7-inch 256GB/12GB Dual SIM 5G Mobile Phone - Onyx Black,49599.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/630596/1.jpg?5778,0
https://jumia.com.eg/samsung-galaxy-s24-plus-6.7-inch-256gb12gb-dual-sim-5g-mobile-phone-cobalt-violet-69503662.html,Samsung Galaxy S24 Plus - 6.7-inch 256GB/12GB Dual SIM 5G Mobile Phone - Cobalt Violet,49599.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/630596/1.jpg?5776,0
https://jumia.com.eg/samsung-galaxy-s24-plus-6.7-inch-256gb12gb-dual-sim-5g-mobile-phone-amber-yellow-69503667.html,Samsung Galaxy S24 Plus - 6.7-inch 256GB/12GB Dual SIM 5G Mobile Phone - Amber Yellow,49599.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/630596/1.jpg?5777,0
https://jumia.com.eg/zte-redmagic-8s-pro-16gb512gb-aurora-47596321.html,ZTE REDMAGIC 8S Pro 16GB+512GB / Aurora,49500.0,ZTE,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/369574/1.jpg?9717,0
https://jumia.com.eg/apple-iphone-15-5g-double-sim-128gb6gb-ram-black-77567708.html,Apple IPhone 15 – 5G Double  SIM – 128GB/6GB RAM - Black,49375.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/776577/1.jpg?8593,0
https://jumia.com.eg/apple-iphone-15-5g-double-sim-128gb6gb-ram-blue-77567709.html,Apple IPhone 15 – 5G Double  SIM – 128GB/6GB RAM - Blue,49375.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/776577/1.jpg?8593,0
https://jumia.com.eg/apple-iphone-15-5g-double-sim-128gb6gb-ram-pink-77567710.html,Apple IPhone 15 – 5G Double  SIM – 128GB/6GB RAM - Pink,49375.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/776577/1.jpg?8593,0
https://jumia.com.eg/apple-iphone-13-single-sim-with-facetime-256gb-product-red-61601020.html,Apple IPhone 13 Single SIM With FaceTime - 256GB - (Product) Red,48750.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/010616/1.jpg?0123,0
https://jumia.com.eg/cat-s62-pro-dual-sim-black-6gb-ram-128gb-4g-lte-32511516.html,CAT S62 Pro Dual Sim Black 6GB RAM 128GB 4G LTE,45000.0,CAT,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/511523/1.jpg?7718,0
https://jumia.com.eg/zte-redmagic-8s-pro-16gb512gb-platinum-47596322.html,ZTE REDMAGIC 8S Pro 16GB+512GB / Platinum,44695.0,ZTE,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/369574/1.jpg?9714,0
https://jumia.com.eg/samsung-galaxy-s23-ultra-6.8-inches-5g-256gb12gb-phantom-black-51505370.html,Samsung Galaxy S23 Ultra - 6.8 Inches - 5G - 256GB/12GB - Phantom Black,43999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/350515/1.jpg?8059,5.0
https://jumia.com.eg/samsung-galaxy-s24-6.2-inch-256gb8gb-dual-sim-5g-mobile-phone-amber-yellow-70734271.html,Samsung Galaxy S24 - 6.2-inch 256GB/8GB Dual SIM 5G Mobile Phone - Amber Yellow,42999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/243707/1.jpg?4553,0
https://jumia.com.eg/samsung-galaxy-s24-6.2-inch-256gb8gb-dual-sim-5g-mobile-phone-cobalt-violet-70734273.html,Samsung Galaxy S24 - 6.2-inch 256GB/8GB Dual SIM 5G Mobile Phone - Cobalt Violet,42999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/243707/1.jpg?4552,0
https://jumia.com.eg/samsung-galaxy-s24-6.2-inch-256gb8gb-dual-sim-5g-mobile-phone-marble-grey-70734269.html,Samsung Galaxy S24 - 6.2-inch 256GB/8GB Dual SIM 5G Mobile Phone - Marble Grey,42999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/243707/1.jpg?4553,0
https://jumia.com.eg/samsung-galaxy-s24-6.2-inch-256gb8gb-dual-sim-5g-mobile-phone-onyx-black-70734267.html,Samsung Galaxy S24 - 6.2-inch 256GB/8GB Dual SIM 5G Mobile Phone - Onyx Black,42999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/243707/1.jpg?4554,0
https://jumia.com.eg/iphone-14-5g-single-sim-128gb6gb-ram-purple-apple-mpg906917.html,Apple IPhone 14 – 5G Single SIM – 128GB/6GB RAM – Purple,42500.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/487593/1.jpg?8827,0
https://jumia.com.eg/apple-iphone-14-single-sim-128gb-midnight-38491929.html,Apple IPhone 14 – Single SIM –128GB – Midnight,42000.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/919483/1.jpg?9023,0
https://jumia.com.eg/apple-iphone-14-5g-single-sim-128gb6gb-ram-starlight-39578407.html,Apple IPhone 14 – 5G Single SIM – 128GB/6GB RAM – Starlight,42000.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/487593/1.jpg?9487,0
https://jumia.com.eg/apple-iphone-14-5g-single-sim-128g-blue-46961670.html,Apple Iphone 14 – 5G Single SIM – 128G - Blue,39999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/616964/1.jpg?0124,0
https://jumia.com.eg/zte-redmagic-8s-pro-12gb256gb-midnight-47596323.html,ZTE REDMAGIC 8S Pro 12GB+256GB / Midnight,39990.0,ZTE,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/369574/1.jpg?0071,0
https://jumia.com.eg/black-shark-5-pro-dual-sim-12gb256gb-41257508.html,Black Shark 5 Pro Dual Sim (12GB+256GB,39200.0,Black Shark,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/575214/1.jpg?8713,0
https://jumia.com.eg/iphone-13-single-sim-with-facetime-128gb-blue-apple-mpg833860.html,Apple IPhone 13 Single SIM With FaceTime - 128GB - Blue,36250.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/775822/1.jpg?9570,4.2
https://jumia.com.eg/iphone-13-single-sim-with-facetime-128gb-midnight-apple-mpg906914.html,Apple IPhone 13 Single SIM With FaceTime - 128GB - Midnight,36250.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/775822/1.jpg?9570,3.6
https://jumia.com.eg/apple-iphone-13-single-sim-with-facetime-128gb-green-27122359.html,Apple IPhone 13 Single SIM With FaceTime - 128GB -GREEN,36250.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/322172/1.jpg?7409,5.0
https://jumia.com.eg/iphone-13-128gb4gb-ram-5g-mobile-phone-starlight-japanese-version-apple-mpg906915.html,Apple IPhone 13 Single SIM With FaceTime - 128GB - Starlight,36250.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/775822/1.jpg?9571,4.1
